REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Service detail,Seasonal adjustment,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,TERMINATED,DECIMALS
2020-01,Nunavut,2016A000262,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170718,14.1.1.2,1466,,,0
2020-01,Nunavut,2016A000262,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170697,14.4.1.1,,x,,0
2020-01,Nunavut,2016A000262,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170699,14.5.1.1,,..,,0
2020-01,Nunavut,2016A000262,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170693,14.2.1.1,,x,,0
2020-01,Nunavut,2016A000262,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170695,14.3.1.1,,x,,0
2020-02,Canada,2016A000011124,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170561,1.1.1.1,5654208,,,0
2020-02,Canada,2016A000011124,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170701,1.1.1.2,6299948,,,0
2020-02,Canada,2016A000011124,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170567,1.4.1.1,482870,,,0
2020-02,Canada,2016A000011124,Special food services [7223],Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170704,1.4.1.2,525970,,,0
2020-02,Canada,2016A000011124,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170569,1.5.1.1,192512,,,0
2020-02,Canada,2016A000011124,Drinking places (alcoholic beverages) [7224],Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170705,1.5.1.2,209847,,,0
